run_id,id,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,epoch,run
2,2,3.0276,0.9249,0.9238,0.9236,0.924,27.4148,245.67,1.67,pretrained/bert-base-uncased-sst2-ORIG+SIB
2,3,2.8312,0.932,0.9312,0.9302,0.9324,27.3912,245.882,1.11,pretrained/bert-base-uncased-sst2-ORIG+INVSIB
2,4,3.3822,0.9416,0.9406,0.942,0.9394,27.3789,245.992,2.78,pretrained/bert-base-uncased-sst2-ORIG+TextMix
2,5,2.6829,0.9396,0.9386,0.9389,0.9384,27.3698,246.074,0.83,pretrained/bert-base-uncased-sst2-ORIG+SentMix
2,6,3.2195,0.9363,0.9356,0.9344,0.9372,27.3788,245.993,1.32,pretrained/bert-base-uncased-sst2-ORIG+WordMix
2,7,0.3041,0.9174,0.916,0.917,0.9152,27.2809,246.876,1.11,pretrained/roberta-base-sst2-ORIG+ORIG
2,8,0.2425,0.9186,0.9174,0.9173,0.9176,27.2929,246.767,0.87,pretrained/roberta-base-sst2-ORIG+INV
2,9,3.1722,0.9128,0.9115,0.9116,0.9114,27.3775,246.005,0.66,pretrained/roberta-base-sst2-ORIG+SIB
2,10,2.6758,0.9198,0.9184,0.9199,0.9171,27.3008,246.696,0.97,pretrained/roberta-base-sst2-ORIG+INVSIB
2,11,2.4799,0.9164,0.9146,0.9184,0.912,27.302,246.685,1.25,pretrained/roberta-base-sst2-ORIG+TextMix
2,12,2.3788,0.9308,0.9301,0.9287,0.9325,27.2673,246.999,1.11,pretrained/roberta-base-sst2-ORIG+SentMix
2,13,2.6383,0.9332,0.9324,0.9314,0.9337,27.3014,246.691,0.68,pretrained/roberta-base-sst2-ORIG+WordMix
2,14,0.3082,0.92,0.9186,0.9197,0.9177,41.9711,160.468,1.18,pretrained/xlnet-base-cased-sst2-ORIG+ORIG
2,15,0.3095,0.9218,0.9204,0.9217,0.9192,41.8886,160.784,0.87,pretrained/xlnet-base-cased-sst2-ORIG+INV
2,16,2.7052,0.9182,0.9172,0.9161,0.9187,41.9921,160.387,0.9,pretrained/xlnet-base-cased-sst2-ORIG+SIB
2,17,3.3214,0.9197,0.9184,0.9186,0.9183,41.8736,160.841,0.94,pretrained/xlnet-base-cased-sst2-ORIG+INVSIB
2,18,2.6324,0.9342,0.9332,0.9334,0.9331,41.943,160.575,1.25,pretrained/xlnet-base-cased-sst2-ORIG+TextMix
2,19,3.3501,0.928,0.9262,0.9317,0.9229,41.9327,160.614,0.81,pretrained/xlnet-base-cased-sst2-ORIG+SentMix
2,20,2.4862,0.9298,0.929,0.9278,0.9307,41.7319,161.387,1.02,pretrained/xlnet-base-cased-sst2-ORIG+WordMix
3,0,0.2822,0.9384,0.9373,0.9383,0.9365,16.9324,397.758,7.5,pretrained/bert-base-uncased-sst2-ORIG+ORIG
3,1,0.2518,0.9258,0.9248,0.9242,0.9254,17.0465,395.095,1.94,pretrained/bert-base-uncased-sst2-ORIG+INV
3,2,3.5993,0.9431,0.9422,0.9426,0.9419,17.0787,394.35,9.31,pretrained/bert-base-uncased-sst2-ORIG+SIB
3,3,2.6375,0.9335,0.9326,0.9321,0.933,16.9467,397.422,4.17,pretrained/bert-base-uncased-sst2-ORIG+INVSIB
3,4,5.3963,0.9479,0.9472,0.9467,0.9476,16.984,396.55,10,pretrained/bert-base-uncased-sst2-ORIG+TextMix
3,5,5.4985,0.95,0.9493,0.9488,0.9498,16.9856,396.512,10,pretrained/bert-base-uncased-sst2-ORIG+SentMix
3,6,4.7075,0.9452,0.9444,0.9443,0.9446,16.9568,397.186,7.64,pretrained/bert-base-uncased-sst2-ORIG+WordMix
3,7,0.3848,0.9109,0.9103,0.9091,0.9146,16.5429,407.124,3.33,pretrained/roberta-base-sst2-ORIG+ORIG
3,8,0.2837,0.9087,0.9061,0.9139,0.902,16.495,408.305,1.81,pretrained/roberta-base-sst2-ORIG+INV
3,9,1.9174,0.9121,0.9106,0.9118,0.9095,16.5944,405.859,2.22,pretrained/roberta-base-sst2-ORIG+SIB
3,10,2.2247,0.9163,0.9151,0.9146,0.9157,16.5837,406.122,2.36,pretrained/roberta-base-sst2-ORIG+INVSIB
3,11,3.7597,0.9479,0.9471,0.9472,0.947,16.5743,406.353,10,pretrained/roberta-base-sst2-ORIG+TextMix
3,12,1.9897,0.9359,0.935,0.9342,0.9361,16.5316,407.401,2.69,pretrained/roberta-base-sst2-ORIG+SentMix
3,13,3.0437,0.9293,0.9282,0.9285,0.928,16.5389,407.221,1.04,pretrained/roberta-base-sst2-ORIG+WordMix
3,14,0.3966,0.9185,0.9172,0.9175,0.9169,26.6179,253.026,3.61,pretrained/xlnet-base-cased-sst2-ORIG+ORIG
3,15,0.2777,0.9096,0.9086,0.9074,0.9104,26.4643,254.494,1.94,pretrained/xlnet-base-cased-sst2-ORIG+INV
3,16,1.936,0.9048,0.9032,0.904,0.9026,26.5381,253.786,2.36,pretrained/xlnet-base-cased-sst2-ORIG+SIB
3,17,2.0871,0.9237,0.9227,0.922,0.9235,26.6206,253,2.22,pretrained/xlnet-base-cased-sst2-ORIG+INVSIB
3,18,4.1507,0.9519,0.9512,0.9511,0.9513,26.6727,252.505,10,pretrained/xlnet-base-cased-sst2-ORIG+TextMix
3,19,2.6061,0.9292,0.9277,0.9306,0.9257,26.574,253.443,1.76,pretrained/xlnet-base-cased-sst2-ORIG+SentMix
3,20,2.875,0.9366,0.9357,0.9354,0.9361,26.6857,252.383,1.53,pretrained/xlnet-base-cased-sst2-ORIG+WordMix
